,0
0,-0.003745540595613963
1,-0.0003963565979784242
2,-0.0017157384125409542
3,-0.04486887796601135
4,0.00021584562782711592
5,0.024229540880472425
6,0.007046408406164439
7,-0.00423922872812027
8,-0.01468229861149747
9,-0.0021912820926931393
10,0.00036824772002035447
11,0.005024072593348125
12,-0.0009086208172462851
13,0.24377683920816406
14,0.00037712196592836617
15,-0.0013097436021612258
16,0.002379931137141744
17,0.00033813417633757337
18,0.015611189930123299
19,-0.002904036333196476
20,-0.0013463512400688112
21,-0.019964003005804455
22,-0.03774014468524628
23,0.007206821163490779
24,0.15243952546718778
25,-0.0015483502835739599
26,-0.013157795560685678
27,0.0003693744993317205
28,0.0026134572603078443
29,-0.00309883103681724
30,-0.0053440430016424775
31,-0.0002477665664978798
32,0.004476104858292723
33,-0.004414831608051433
34,-0.0033719419699373403
35,-0.005165408417829782
36,0.000636394456875071
37,0.0037455405957022778
38,0.0003963565976068256
39,0.0017157384128683867
40,0.04486887796593286
41,-0.00021584562811007013
42,-0.02422954088033363
43,-0.007046408406391334
44,0.004239228727789063
45,0.014682298611313064
46,0.0021912820925920305
47,-0.000368247722697973
48,-0.005024072592741706
49,0.0009086208172172719
50,-0.24377683920819568
51,-0.0003771219660476874
52,0.0013097436019283044
53,-0.0023799311346404013
54,-0.00033813417624686815
55,-0.015611189930289506
56,0.002904036333196261
57,0.001346351240057192
58,0.01996400300585178
59,0.03774014468539791
60,-0.0072068211635039625
61,-0.1524395254672413
62,0.0015483502837415515
63,0.013157795560881005
64,-0.0003693744994078957
65,-0.0026134572603248585
66,0.003098831036671461
67,0.005344043001761677
68,0.0002477665668149595
69,-0.0044761048581657276
70,0.004414831607758348
71,0.003371941969868921
72,0.005165408417704974
73,-0.0006363944563391732
74,1.7423150595885506e-12
