eyePos,weakFrac,simType,simulation,f,t_f,t_s,killIdx,A,t_fast,B,t_slow,offset
-20.0,0.9,both,SimulationData/Data:E:-20.0wf:0.9f:2e-05t_f:6000t_s50type:both,2e-05,6000.0,50.0,10001.0,-5.767601919345604,202.5547029013754,-11.498349740848566,2909.9167395225513,-2.744329486861116
-20.0,0.5,both,SimulationData/Data:E:-20.0wf:0.5f:2e-05t_f:6000t_s50type:both,2e-05,6000.0,50.0,10001.0,-13.533196680796072,87.58181574347635,-5.793915205817587,1275.5929016358905,-0.7082024151970006
20.0,0.9,both,SimulationData/Data:E:20.0wf:0.9f:2e-05t_f:6000t_s50type:both,2e-05,6000.0,50.0,10001.0,11.485598216857927,2763.894038383122,5.652359716943259,197.92187005939812,2.8142072382469396
20.0,0.5,both,SimulationData/Data:E:20.0wf:0.5f:2e-05t_f:6000t_s50type:both,2e-05,6000.0,50.0,10001.0,13.963709647063789,84.98091341583184,6.283578997591671,1241.4585341350098,-0.2684186486155585
